version,queue,message_size,run_name,case_id,case_label,omp_threads,async_progress,wait_mode,cutoff,num_cycles,bench_comm,test_comm,mid_comm,post_send,wait_recv,path
midcomm,cm4_inter,big,run_1_big_mes_inter,00,async0_c1_waitall,1,0,wait_all,250,5,1.480741084,1.329422055,0.092884833,0.005974809,0.011043607,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_00_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,01,async0_c4_waitall,4,0,wait_all,250,5,0.632334196,0.703710989,0.03810413,0.005781331,0.01001876,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_01_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,02,async0_c1_testall,1,0,test_all,250,5,1.500982996,1.329117112,0.092997454,0.00698319,0.013459122,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_02_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,03,async0_c4_testall,4,0,test_all,250,5,0.616922498,0.704220687,0.038111367,0.004993968,0.009669403,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_03_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,04,async1_c1_waitall,1,1,wait_all,250,5,3.005154296,2.715456045,0.187512576,0.016672395,0.021322331,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_04_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,05,async1_c4_waitall,3,1,wait_all,250,5,0.809917446,0.952519117,0.051655132,0.008340202,0.008853914,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_05_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,06,async1_c1_testall,1,1,test_all,250,5,2.977395629,2.827004897,0.185478165,0.013776676,0.019257001,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_06_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,07,async1_c4_testall,3,1,test_all,250,5,0.811273407,0.95018566,0.051586096,0.008366743,0.009064349,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_07_summary.csv
midcomm,cm4_inter,big,run_2_samll_mess_inter,00,async0_c1_waitall,1,0,wait_all,500000,5,1.480530474,1.3289453,0.092927615,0.005984914,0.011040277,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_00_summary.csv
midcomm,cm4_inter,big,run_2_samll_mess_inter,01,async0_c4_waitall,4,0,wait_all,500000,5,0.614032739,0.703684734,0.038262917,0.004929598,0.008730901,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_01_summary.csv
midcomm,cm4_inter,big,run_2_samll_mess_inter,02,async0_c1_testall,1,0,test_all,500000,5,1.481997723,1.329802101,0.092912322,0.005973232,0.011149205,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_02_summary.csv
midcomm,cm4_inter,big,run_2_samll_mess_inter,03,async0_c4_testall,4,0,test_all,500000,5,0.613952298,0.704672448,0.038074785,0.004926279,0.008930806,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_03_summary.csv
midcomm,cm4_inter,big,run_2_samll_mess_inter,04,async1_c1_waitall,1,1,wait_all,500000,5,2.963746875,2.738793326,0.185061194,0.014338645,0.018861641,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_04_summary.csv
midcomm,cm4_inter,big,run_2_samll_mess_inter,05,async1_c4_waitall,3,1,wait_all,500000,5,0.8109857,0.951976244,0.052212432,0.008559034,0.008306264,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_05_summary.csv
midcomm,cm4_inter,big,run_2_samll_mess_inter,06,async1_c1_testall,1,1,test_all,500000,5,2.959999379,2.716594533,0.184969936,0.01564177,0.021346481,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_06_summary.csv
midcomm,cm4_inter,big,run_2_samll_mess_inter,07,async1_c4_testall,3,1,test_all,500000,5,0.812076841,0.952759891,0.051421509,0.008643421,0.009198906,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_07_summary.csv
midcomm,cm4_inter,big,run_5_more_omp8_big_mes,00,omp8_bigmes,8,0,wait_all,250,5,0.398605481,0.362097932,0.022351837,0.004859394,0.008881074,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_5_more_omp8_big_mes/Comb_00_summary.csv
no_midcomm,cm4_inter,big,run_1_big_mes_inter,00,async0_c1_waitall,1,0,wait_all,250,5,0.989635372,1.307004564,,0.006035009,0.01224193,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_00_summary.csv
no_midcomm,cm4_inter,big,run_1_big_mes_inter,01,async0_c4_waitall,4,0,wait_all,250,5,0.418797247,0.661741924,,0.005041821,0.009261902,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_01_summary.csv
no_midcomm,cm4_inter,big,run_1_big_mes_inter,02,async0_c1_testall,1,0,test_all,250,5,0.990253187,1.307194604,,0.006017363,0.012304341,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_02_summary.csv
no_midcomm,cm4_inter,big,run_1_big_mes_inter,03,async0_c4_testall,4,0,test_all,250,5,0.420366823,0.660714517,,0.005186169,0.009468578,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_03_summary.csv
no_midcomm,cm4_inter,big,run_1_big_mes_inter,04,async1_c1_waitall,1,1,wait_all,250,5,2.204469818,2.653527883,,0.018759173,0.05639809,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_04_summary.csv
no_midcomm,cm4_inter,big,run_1_big_mes_inter,05,async1_c4_waitall,3,1,wait_all,250,5,0.560661878,0.880897356,,0.006424088,0.015553066,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_05_summary.csv
no_midcomm,cm4_inter,big,run_1_big_mes_inter,06,async1_c1_testall,1,1,test_all,250,5,2.198752647,2.642999983,,0.017182634,0.058736478,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_06_summary.csv
no_midcomm,cm4_inter,big,run_1_big_mes_inter,07,async1_c4_testall,3,1,test_all,250,5,0.56881404,0.892360438,,0.007117085,0.016820723,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_07_summary.csv
no_midcomm,cm4_inter,big,run_2_samll_mess_inter,00,async0_c1_waitall,1,0,wait_all,500000,5,0.989880335,1.30675548,,0.00602032,0.012191462,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_00_summary.csv
no_midcomm,cm4_inter,big,run_2_samll_mess_inter,01,async0_c4_waitall,4,0,wait_all,500000,5,0.417320853,0.661425531,,0.004843138,0.00916211,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_01_summary.csv
no_midcomm,cm4_inter,big,run_2_samll_mess_inter,02,async0_c1_testall,1,0,test_all,500000,5,0.98920857,1.306856674,,0.006003681,0.012101388,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_02_summary.csv
no_midcomm,cm4_inter,big,run_2_samll_mess_inter,03,async0_c4_testall,4,0,test_all,500000,5,0.418751356,0.660512254,,0.005172785,0.009134797,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_03_summary.csv
no_midcomm,cm4_inter,big,run_2_samll_mess_inter,04,async1_c1_waitall,1,1,wait_all,500000,5,2.562209023,2.645576333,,0.017726388,0.125297252,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_04_summary.csv
no_midcomm,cm4_inter,big,run_2_samll_mess_inter,05,async1_c4_waitall,3,1,wait_all,500000,5,0.577649025,0.888709866,,0.007564432,0.017512074,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_05_summary.csv
no_midcomm,cm4_inter,big,run_2_samll_mess_inter,06,async1_c1_testall,1,1,test_all,500000,5,2.171990887,2.653153024,,0.018010142,0.054416884,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_06_summary.csv
no_midcomm,cm4_inter,big,run_2_samll_mess_inter,07,async1_c4_testall,3,1,test_all,500000,5,0.583309069,0.889828558,,0.006956277,0.018692328,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_07_summary.csv
no_midcomm,cm4_inter,big,run_5_more_omp8_big_mes,00,omp8_bigmes,8,0,wait_all,250,5,0.283617048,0.34076023,,0.004851923,0.008834111,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_no_midcomm_omp/cm4_inter/run_5_more_omp8_big_mes/Comb_00_summary.csv
